"X","logFC","AveExpr","t","P.Value","adj.P.Val","B","phrog","function.","product","annotation_method","bitscore","fident","evalue","qStart","qEnd","qLen","tStart","tEnd","tLen","annotation_source","tophit_protein","function_with_highest_bitscore_proportion","top_bitscore_proportion_not_unknown","head_and_packaging_bitscore_proportion","integration_and_excision_bitscore_proportion","tail_bitscore_proportion","moron_auxiliary_metabolic_gene_and_host_takeover_bitscore_proportion","DNA_RNA_and_nucleotide_metabolism_bitscore_proportion","connector_bitscore_proportion","transcription_regulation_bitscore_proportion","lysis_bitscore_proportion","other_bitscore_proportion","unknown_function_bitscore_proportion"
"edge_1468_43",0.0928142661206448,0.348451907478644,4.08895466968815,9.51096513056343e-05,0.000687723050750649,1.10692362478899,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_44",0.0806370144618266,0.303826768853173,3.98345552146188,0.000112227471561369,0.000762951628405895,0.91267087799238,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_45",0.083126619501126,0.366166142388433,3.85893634768335,0.00017389152535867,0.00101543071930754,0.508842518201976,"14642","lysis","endolysin",NA,431,0.277,5.775e-09,1,189,191,5,195,196,"foldseek","envhog_protein1162010","lysis",0.996,0,0,0.004,0,0,0,0,0.996,0,0
"edge_1468_47",0.0883497383264769,0.306053937659208,5.00428118878648,3.2872046394282e-06,9.73460828448851e-05,4.27304200975468,"236","other","nucleotide kinase",NA,487,1,1.455e-10,0,84,87,0,84,86,"foldseek","protein18544","other",1,0,0,0,0,0,0,0,0,1,0
"edge_1468_48",0.0860119142534342,0.291951686554246,5.457532061487,2.82782458316027e-07,1.75459782469421e-05,6.54334167579706,"4079","unknown function","hypothetical protein",NA,797,1,1.789e-21,0,198,200,0,198,199,"foldseek","protein731684","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_49",0.087971445274883,0.35936254759041,5.76086133010459,7.51109312764167e-08,8.38881801027179e-06,7.80348197319505,"15567","unknown function","hypothetical protein",NA,333,1,1.161e-07,0,62,64,0,62,63,"foldseek","protein138374","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_50",0.0763985158121633,0.388831718077698,3.62871402074829,0.000444164216445078,0.0018218656055444,-0.331063309985311,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_51",0.0609778057392913,0.233722525108575,3.48483005411732,0.00109940506607357,0.00341619586906327,-1.08722946800189,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_53",0.0646383377774098,0.302845629564991,3.29819113886022,0.00209618233396469,0.00547598552342386,-1.65532984093871,"10993","head and packaging","Hoc-like head decoration",NA,276,0.139,2.291e-05,88,271,284,114,296,297,"foldseek","envhog_protein974739","head and packaging",0.904,0.904,0.096,0,0,0,0,0,0,0,0
"edge_1468_54",0.0563285864733108,0.331933099381586,4.12116351979536,6.50219389496059e-05,0.00054896492301082,1.41685417580237,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_55",0.0632287754021488,0.303949658458584,4.74020418101355,8.09329742096828e-06,0.000157396515515249,3.40817841480818,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_57",0.0915006813827962,0.419689010505325,4.16793791177958,7.01530122711753e-05,0.000578540348033807,1.38905000123106,"10740","unknown function","hypothetical protein",NA,478,1,9.644e-11,0,103,106,0,103,105,"foldseek","protein111045","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_58",0.0821893538744661,0.419544420513515,3.83797909455765,0.000194859429867586,0.00108505058597207,0.412641479853935,"18243","unknown function","hypothetical protein",NA,394,1,3.431e-09,0,71,73,0,71,72,"foldseek","protein186040","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_60",0.0984849298737032,0.32630052137555,4.82618555390511,4.44777002596041e-06,0.000118274374363804,3.94288758964576,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_61",0.0744568198180066,0.328520555780559,3.87616566170133,0.00041150864151128,0.00173547408198139,-0.136387700388926,"4852","unknown function","hypothetical protein",NA,412,1,8.352e-10,0,80,83,0,80,82,"foldseek","protein9620","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_62",0.0854659031588501,0.412337057714046,5.11029460257243,8.88295631492069e-07,3.91119763960679e-05,5.42673332336736,"15866","unknown function","hypothetical protein",NA,587,0.978,5.264e-15,0,137,139,0,137,138,"foldseek","protein495780","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_65",0.0655573118315769,0.204466421720024,4.21374644075651,0.000127738442122631,0.000829451113384326,0.933747796292992,"2834","unknown function","hypothetical protein",NA,387,1,1.6e-08,0,67,69,0,67,68,"foldseek","protein137656","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_66",0.065772009201935,0.280633381022235,3.80775509804584,0.000502495612001804,0.00197810206174728,-0.323392524071685,"11237","unknown function","hypothetical protein",NA,752,0.978,2.777e-16,7,145,147,0,138,139,"foldseek","protein523036","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_68",0.0629142653941971,0.255636262327662,4.17966047631014,0.000180544767698635,0.00104471865542857,0.648848609505985,"27480","unknown function","hypothetical protein",NA,286,1,4.952e-07,0,52,55,0,52,54,"foldseek","protein802710","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_69",0.0659825783198473,0.219730430223478,3.30400957350821,0.00272551376833726,0.00668383520729632,-1.82982356052073,"5749","integration and excision","transposase",NA,239,0.184,0.0002129,1,94,105,47,148,430,"foldseek","protein706995","integration and excision",1,0,1,0,0,0,0,0,0,0,0
"edge_1468_71",0.0793298184670548,0.416565239837726,4.61704610261391,7.80360564055674e-06,0.0001532879118037,3.38574600719582,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_72",0.0848539096212492,0.460956205664001,4.10054649446579,6.47962417953821e-05,0.000548243526359629,1.41511881110033,"13589","unknown function","hypothetical protein",NA,673,0.682,2.917e-16,5,193,195,6,194,195,"foldseek","protein214379","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_74",0.0869811609315525,0.436704666305058,3.09416078719359,0.00347898098171883,0.0079996097985523,-2.11952968817357,"4105","unknown function","hypothetical protein",NA,431,0.76,1.479e-09,0,95,112,0,95,107,"foldseek","protein93939","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_75",0.0818059243725323,0.371596955502307,3.83770013553186,0.000179376332832653,0.00104032950303092,0.474444783971316,"1423","DNA, RNA and nucleotide metabolism","Reverse transcriptase",NA,2586,0.987,1.655e-55,0,395,399,0,395,398,"foldseek","dgr_protein200","DNA, RNA and nucleotide metabolism",0.999,0,0,0,0.001,0.999,0,0,0,0,0
"edge_1468_76",0.0906772907959573,0.340515561168623,3.69417998625294,0.000385554262631018,0.00166898050548666,-0.185429838287487,"3206","DNA, RNA and nucleotide metabolism","Avd protein of DGR",NA,652,0.711,5.366e-13,0,162,163,32,194,195,"foldseek","envhog_protein1031916","DNA, RNA and nucleotide metabolism",1,0,0,0,0,1,0,0,0,0,0
"edge_1468_77",0.081311898696104,0.31645266967153,3.97445535012543,0.000124305891077377,0.000817873461364623,0.833409447141424,"134","unknown function","hypothetical protein",NA,211,0.723,0.0003777,0,46,48,0,46,47,"foldseek","protein273423","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1468_8",0.0665078267457622,0.211312112982589,4.08269978952225,0.000259233430669924,0.00132984708725556,0.319470438144513,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1468_81",0.0642472851094694,0.300397176840203,3.52271273701233,0.000583860678183195,0.00216761141001801,-0.607842922913864,"538","tail","minor tail protein",NA,2343,0.974,1.377e-54,0,356,358,0,356,357,"foldseek","protein533406","tail",0.814,0.118,0,0.814,0.014,0,0,0,0.003,0.05,0
"edge_1468_83",0.105253069926033,0.520176212767807,4.00976047065184,0.000104431110908331,0.000730270505439472,0.995582907530657,"4372","tail","tail length tape measure protein",NA,2970,0.972,3.407e-57,503,1314,1317,1,812,814,"foldseek","protein218074_2","tail",1,0,0,1,0,0,0,0,0,0,0
"edge_1474_10",0.0856963395704444,0.291391076863213,3.90537428112772,0.000330399975544211,0.00152844201704416,0.0497620394178844,"78","connector","tail terminator",NA,650,1,2.124e-17,0,106,108,0,106,107,"foldseek","protein694662","connector",0.894,0.093,0,0.014,0,0,0.894,0,0,0,0
"edge_1474_11",0.0869270698789532,0.257302159014755,5.18711529652243,1.15844959668587e-06,4.73057582544813e-05,5.22699316663914,"25","connector","head closure Hc1",NA,272,0.154,3.087e-05,2,101,111,6,109,110,"foldseek","envhog_protein1755508","connector",0.993,0.007,0,0,0,0,0.993,0,0,0,0
"edge_1474_18",0.112346008035916,0.346525983154133,5.57821859733761,5.99013211839858e-07,2.92692830635251e-05,5.93484664557246,"4321","DNA, RNA and nucleotide metabolism","HNH endonuclease",NA,358,0.368,1.601e-06,0,71,73,167,242,248,"foldseek","envhog_protein235904","lysis",0.651,0.144,0,0.14,0,0.038,0,0,0.651,0.027,0
"edge_1474_3",0.103225604357931,0.314531700982338,4.22700363140631,0.000329522518677362,0.00152799943714094,0.210489729625181,"5182","lysis","endolysin",NA,531,0.99,1.709e-10,2,109,111,222,329,330,"foldseek","protein128735","lysis",0.804,0,0,0.06,0,0,0,0,0.804,0.137,0
"edge_1476_1",0.0786916833597752,0.256003160820813,3.98082137180597,0.000159481090470197,0.000962054911493829,0.641106172165323,"4372","tail","tail length tape measure protein",NA,520,0.966,4.013e-10,1,179,180,318,496,1000,"foldseek","protein218074_1","tail",1,0,0,1,0,0,0,0,0,0,0
"edge_1476_10",0.0645777470408148,0.312876196955364,3.65665088596924,0.000683668660048719,0.0024185165539642,-0.637479335575382,"25","connector","head closure Hc1",NA,297,0.136,1.062e-05,2,101,111,6,109,110,"foldseek","envhog_protein1755508","connector",0.908,0.092,0,0,0,0,0.908,0,0,0,0
"edge_1476_11",0.0694920740659515,0.314196429954968,3.22181196709738,0.00288592143051541,0.00695310229392109,-1.91810685432709,"3270","head and packaging","head maturation protease",NA,2136,0.987,4.928e-54,0,397,399,225,622,623,"foldseek","protein684780","head and packaging",1,1,0,0,0,0,0,0,0,0,0
"edge_1476_18",0.0667539936782105,0.520458402371593,3.53643995700942,0.000624796377209855,0.00227404938409062,-0.640618789648131,"9","head and packaging","terminase large subunit",NA,3849,0.991,5.32e-93,0,579,582,0,579,581,"foldseek","protein579393","head and packaging",0.983,0.983,0,0,0.003,0.011,0.003,0,0,0,0
"edge_1476_19",0.072116356704446,0.262114549756406,5.777245372437,6.23604644089107e-08,7.38688046589188e-06,7.97038402389481,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1476_20",0.088625267841962,0.649448025159203,4.35816332405309,2.44416823278398e-05,0.000297640299749301,2.33426572043948,"4247","head and packaging","virion structural protein",NA,839,0.977,3.325e-19,0,178,180,0,178,179,"foldseek","protein735008","head and packaging",1,1,0,0,0,0,0,0,0,0,0
"edge_1476_23",0.0763378255421501,0.721768747149775,3.2318098567228,0.00187006942434083,0.00505889368840713,-1.59662627860709,"4259","unknown function","hypothetical protein",NA,436,0.972,5.56e-12,0,109,111,0,109,110,"foldseek","protein26178","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1476_4",0.108316426778326,0.424482592928718,5.8482224480711,1.46937149300143e-07,1.26781308013969e-05,7.24310278179729,"5","connector","tail completion or Neck1 protein",NA,791,0.991,4.465e-19,0,123,126,0,123,125,"foldseek","protein297873","connector",0.989,0.011,0,0,0,0,0.989,0,0,0,0
"edge_1476_8",0.0891793623305357,0.383749452932399,4.4807509437456,2.2876771454766e-05,0.000283889840052953,2.44089636149569,"2645","tail","major tail protein",NA,1414,1,1.306e-32,0,233,235,0,233,234,"foldseek","protein580279","tail",0.937,0.033,0,0.937,0,0,0.004,0,0,0.026,0
"edge_1476_9",0.0795430334612557,0.236053332284292,3.94860974110072,0.000491311943840488,0.00194780769621954,-0.232166773583675,"78","connector","tail terminator",NA,650,1,2.124e-17,0,106,108,0,106,107,"foldseek","protein694662","connector",0.894,0.093,0,0.014,0,0,0.894,0,0,0,0
"edge_1495_14",0.0946326262105282,0.260635293387511,4.81004377632327,0.00011193059462109,0.000762799344002172,1.29126543607555,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1495_17",0.082900363867021,0.27501120238175,3.88513725311034,0.00102813784991201,0.00325044424201595,-0.811652170433288,"2872","DNA, RNA and nucleotide metabolism","Sak4-like ssDNA annealing protein",NA,1031,0.492,5.611e-26,0,206,211,0,208,210,"foldseek","protein521444","DNA, RNA and nucleotide metabolism",0.793,0.008,0.001,0,0.016,0.793,0,0,0,0.182,0
"edge_1495_24",0.0727986317140414,0.279470001693258,3.87339869882943,0.000788579246354912,0.00266887989091026,-0.622904121928099,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1495_51",0.0874505988424536,0.233497820070477,5.78417176936509,1.90103136022539e-07,1.35111483402201e-05,6.99519398280927,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1496_17",0.0706247823153048,0.252078112955768,3.60197404909253,0.00110240517578692,0.003422797324981,-1.01343651838903,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1509_4",0.0597571181263422,0.330724847073413,3.27791557928152,0.00151214690812209,0.00432089346772606,-1.43598535051365,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1512_13",0.0460233983806029,0.244859474011916,3.22336568581157,0.00231479900945997,0.0058833220598043,-1.76661408976312,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1512_14",0.0505038353439749,0.337374130821595,3.03083366831558,0.00372318552736866,0.00835472573276929,-2.21302746776466,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1512_15",0.0462398775923207,0.277518816465024,3.02963153366031,0.00319033889754968,0.00745429453109486,-2.12038401375914,"37635","unknown function","hypothetical protein",NA,264,0.243,0.0001497,73,293,302,31,264,329,"foldseek","protein490448","unknown function",0,0,0,0,0,0,0,0,0,0,0
"edge_1512_17",0.0690620877505325,0.333360748866492,3.10041022867439,0.0029307598043454,0.00702278082630846,-2.01251064514977,"17230","tail","tail fiber protein/ lysozyme",NA,837,0.634,2.05e-18,0,214,215,0,215,258,"foldseek","envhog_protein1697763","lysis",0.926,0,0,0.07,0,0,0,0,0.926,0.005,0
"edge_1512_18",0.0588181717026054,0.24192614720665,3.34777036354564,0.00114691027445326,0.00350764079341038,-1.2057660652018,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1512_25",0.0668764168826824,0.255289945144349,3.29226138863261,0.00145739905489966,0.00419821142638377,-1.40845459129693,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1512_28",0.0596734108207327,0.287367444899821,3.34563490453955,0.00111892108713956,0.00345214090736269,-1.17958497505717,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1512_30",0.0775368875161023,0.29788205988351,4.58529595684704,1.70926215580012e-05,0.000236577576532936,2.72436539240853,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1512_41",0.0750374269659525,0.288906572995299,3.67329829350692,0.000626888068082849,0.00227953996105661,-0.562055933526381,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1512_47",0.0918249002360223,0.258605433553981,4.27496509452169,9.37078260243399e-05,0.000683402783449897,1.2075207844431,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1512_51",0.0486825944403641,0.239974286782066,3.10672252722493,0.00232473454654402,0.00589212965352639,-1.86073749174548,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1512_9",0.0590057186423745,0.165936880040376,4.60455973257991,7.28392391409181e-05,0.000585861287658125,1.55661817974566,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1515_2",0.0774413722709949,0.309603658365314,4.22918486513302,8.1879839995998e-05,0.000640136589088713,1.29697873836611,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1515_25",0.0811561877299856,0.283794187981439,3.83760879179904,0.000436427146940487,0.00179578286041091,-0.200197473058789,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1515_29",0.0679713974829091,0.287534181924098,3.21468638498378,0.00227534527369368,0.00580684369037344,-1.75637857919313,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1515_31",0.0621577718923031,0.313689873250651,2.99794537074577,0.00393695223401454,0.00868907330237855,-2.27214250186049,"8469","tail","tail fiber protein",NA,426,0.205,3.84e-08,0,141,157,0,150,324,"foldseek","envhog_protein72692","tail",0.842,0.151,0,0.842,0,0.002,0.003,0,0,0.003,0
"edge_1515_32",0.0781626400531647,0.279465762164648,4.20110446699802,8.57275645817886e-05,0.000653234015497488,1.24729666369925,"1356","lysis","holin",NA,260,0.781,1.098e-05,0,63,65,5,68,72,"foldseek","envhog_protein1182661","lysis",1,0,0,0,0,0,0,0,1,0,0
"edge_1594_34",0.0629597454708508,0.22856293886786,4.0412373273066,0.00015947413950953,0.000962054911493829,0.673726827908298,"1","integration and excision","integrase",NA,220,0.684,0.0004026,0,37,44,0,37,301,"foldseek","envhog_protein113805","integration and excision",1,0,1,0,0,0,0,0,0,0,0
"edge_1594_55",0.0620175348890005,0.256015835614572,3.7804680802271,0.000384042867605285,0.0016643276823382,-0.137638688057868,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_1596_5",0.0758698334574323,0.312407595702769,3.59410982281327,0.000521544395866575,0.00202655769725889,-0.481349523395387,"No_PHROG","unknown function","hypothetical protein",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"edge_16_16",0.0621877599463036,0.32381775994826,3.60947214464223,0.000504973785383433,0.00198585767310246,-0.446978586037668,"33","tail","distal tail protein Dit",NA,2019,0.993,8.305e-41,0,303,305,0,303,304,"foldseek","protein487997","tail",0.984,0.005,0,0.984,0.001,0,0,0,0.009,0,0
"edge_16_4",0.0517299115437944,0.400730856100781,2.88951681806743,0.00461527850224617,0.00973364581465054,-2.46672720005201,"1129","lysis","holin",NA,508,1,3.874e-11,0,95,99,0,95,98,"foldseek","protein730976","lysis",1,0,0,0,0,0,0,0,1,0,0
