Row.names,phrog,function,product
virus_comp_2957_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_2986_cycle_1_11,No_PHROG,unknown function,hypothetical protein
virus_comp_315_cycle_1_1,23820,tail,tail fiber protein
virus_comp_36_cycle_2_15,115,head and packaging,minor head protein
virus_comp_3621_cycle_1_3,119,DNA, RNA and nucleotide metabolism,HNH endonuclease
virus_comp_4028_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_4028_cycle_1_2,7,lysis,endolysin
virus_comp_407_cycle_1_8,35125,unknown function,hypothetical protein
virus_comp_407_cycle_1_9,No_PHROG,unknown function,hypothetical protein
virus_comp_4442_cycle_1_3,2204,other,glycerophosphoryl diester phosphodiesterase
virus_comp_4442_cycle_1_4,vfdb,moron, auxiliary metabolic gene and host takeover,VFDB virulence factor protein
virus_comp_4442_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_4502_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_4695_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_4695_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_4853_cycle_1_7,1440,head and packaging,virion structural protein
virus_comp_5117_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_5117_cycle_1_2,24956,unknown function,hypothetical protein
virus_comp_5117_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_5117_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_54_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_54_cycle_1_2,94,head and packaging,head maturation protease
virus_comp_5552_cycle_1_1,37948,head and packaging,virion structural protein
virus_comp_5552_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_5552_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_593_cycle_1_115,No_PHROG,unknown function,hypothetical protein
virus_comp_593_cycle_1_28,No_PHROG,unknown function,hypothetical protein
virus_comp_6408_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_6408_cycle_1_2,1423,DNA, RNA and nucleotide metabolism,Reverse transcriptase
virus_comp_6408_cycle_1_3,1423,DNA, RNA and nucleotide metabolism,Reverse transcriptase
virus_comp_6408_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_6559_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_6559_cycle_1_2,291,lysis,endolysin
virus_comp_6559_cycle_1_3,199,lysis,holin
virus_comp_7056_cycle_1_2,659,DNA, RNA and nucleotide metabolism,Sak-like ssDNA annealing protein
virus_comp_7129_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_7129_cycle_1_3,37651,head and packaging,virion structural protein
virus_comp_729_cycle_1_14,5708,DNA, RNA and nucleotide metabolism,DnaD-like helicase loader
virus_comp_729_cycle_1_15,No_PHROG,unknown function,hypothetical protein
virus_comp_73_cycle_1_13,No_PHROG,unknown function,hypothetical protein
virus_comp_7974_cycle_1_2,80,head and packaging,head maturation protease
virus_comp_8074_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_1,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_11,vfdb,moron, auxiliary metabolic gene and host takeover,VFDB virulence factor protein
virus_comp_808_cycle_4_13,5131,DNA, RNA and nucleotide metabolism,thymidylate synthase
virus_comp_808_cycle_4_14,12184,other,nucleotide pyrophosphohydrolase
virus_comp_808_cycle_4_15,474,other,phosphofructokinase
virus_comp_808_cycle_4_17,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_2,5,connector,tail completion or Neck1 protein
virus_comp_808_cycle_4_23,93,DNA, RNA and nucleotide metabolism,endonuclease
virus_comp_808_cycle_4_24,256,DNA, RNA and nucleotide metabolism,DNA helicase
virus_comp_808_cycle_4_25,256,DNA, RNA and nucleotide metabolism,DNA helicase
virus_comp_808_cycle_4_26,10285,DNA, RNA and nucleotide metabolism,DNA polymerase
virus_comp_808_cycle_4_27,17,DNA, RNA and nucleotide metabolism,DNA polymerase
virus_comp_808_cycle_4_29,69,DNA, RNA and nucleotide metabolism,exonuclease
virus_comp_808_cycle_4_31,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_32,4583,transcription regulation,transcriptional repressor
virus_comp_808_cycle_4_33,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_34,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_39,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_40,11226,head and packaging,portal protein
virus_comp_808_cycle_4_43,94,head and packaging,head maturation protease
virus_comp_808_cycle_4_44,94,head and packaging,head maturation protease
virus_comp_808_cycle_4_45,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_46,25337,tail,tail length tape measure protein
virus_comp_808_cycle_4_49,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_50,215,head and packaging,structural protein with Ig domain
virus_comp_808_cycle_4_51,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_6,606,head and packaging,terminase small subunit
virus_comp_809_cycle_1_2,979,head and packaging,terminase large subunit
virus_comp_809_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_8200_cycle_1_1,9116,tail,tail protein
virus_comp_8200_cycle_1_2,14098,tail,tail protein
virus_comp_85_cycle_1_3,21524,tail,tail protein with lysin activity
virus_comp_85_cycle_1_4,16596,unknown function,hypothetical protein
virus_comp_8506_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_8506_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_86_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_86_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_9222_cycle_1_1,12,head and packaging,portal protein
virus_comp_932_cycle_1_4,1428,connector,head-tail connector protein
virus_comp_952_cycle_1_13,119,DNA, RNA and nucleotide metabolism,HNH endonuclease
virus_comp_9712_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_99_cycle_1_1,376,tail,tail protein
virus_comp_99_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_99_cycle_1_3,No_PHROG,unknown function,hypothetical protein
