Row.names,phrog,function,product
virus_comp_167_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_167_cycle_1_2,18474,other,hydrolase
virus_comp_167_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_169_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_169_cycle_1_11,947,DNA, RNA and nucleotide metabolism,DNA polymerase processivity factor
virus_comp_169_cycle_1_12,947,DNA, RNA and nucleotide metabolism,DNA polymerase processivity factor
virus_comp_169_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_169_cycle_1_3,16701,other,peptidase
virus_comp_169_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_169_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_169_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_169_cycle_1_7,135,DNA, RNA and nucleotide metabolism,dUTPase
virus_comp_169_cycle_1_8,No_PHROG,unknown function,hypothetical protein
virus_comp_169_cycle_1_9,6015,DNA, RNA and nucleotide metabolism,single strand DNA binding protein
virus_comp_1727_cycle_1_2,4542,tail,tail tube protein
virus_comp_174_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_174_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_174_cycle_1_3,24956,unknown function,hypothetical protein
virus_comp_174_cycle_1_4,34036,head and packaging,virion structural protein
virus_comp_17732_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_17785_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_17794_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_17832_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_17845_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_17860_cycle_1_59,1382,unknown function,hypothetical protein
virus_comp_17862_cycle_1_8,2649,lysis,endolysin
virus_comp_17935_cycle_1_11,No_PHROG,unknown function,hypothetical protein
virus_comp_17937_cycle_1_3,8174,tail,minor tail protein
virus_comp_17959_cycle_1_10,No_PHROG,unknown function,hypothetical protein
virus_comp_17985_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_18040_cycle_1_9,No_PHROG,unknown function,hypothetical protein
virus_comp_18116_cycle_1_2,325,DNA, RNA and nucleotide metabolism,Dda-like helicase
virus_comp_18116_cycle_1_3,1101,tail,tail protein
virus_comp_18116_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_18153_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_18153_cycle_1_10,8689,tail,pilot protein for DNA ejection
virus_comp_18153_cycle_1_11,No_PHROG,unknown function,hypothetical protein
virus_comp_18153_cycle_1_2,942,DNA, RNA and nucleotide metabolism,replication initiation protein
virus_comp_18153_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_18153_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_18196_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_18196_cycle_1_12,5158,unknown function,hypothetical protein
virus_comp_18196_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_18196_cycle_1_3,29197,unknown function,hypothetical protein
virus_comp_18196_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_18196_cycle_1_7,1670,DNA, RNA and nucleotide metabolism,DNA binding protein
virus_comp_18196_cycle_1_8,1642,head and packaging,virion structural protein
virus_comp_18206_cycle_1_8,1670,DNA, RNA and nucleotide metabolism,DNA binding protein
virus_comp_18230_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_18259_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_18259_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_18259_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_18390_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_1933_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_1935_cycle_1_1,4247,head and packaging,virion structural protein
virus_comp_2109_cycle_1_11,No_PHROG,unknown function,hypothetical protein
virus_comp_2109_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_2109_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_2170_cycle_1_10,942,DNA, RNA and nucleotide metabolism,replication initiation protein
virus_comp_2171_cycle_1_9,No_PHROG,unknown function,hypothetical protein
virus_comp_2188_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_2188_cycle_1_8,No_PHROG,unknown function,hypothetical protein
virus_comp_2204_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_2204_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_2204_cycle_1_7,942,DNA, RNA and nucleotide metabolism,replication initiation protein
virus_comp_2216_cycle_1_11,No_PHROG,unknown function,hypothetical protein
virus_comp_2216_cycle_1_8,No_PHROG,unknown function,hypothetical protein
virus_comp_2223_cycle_1_10,No_PHROG,unknown function,hypothetical protein
virus_comp_2223_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_2239_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_2239_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_2239_cycle_1_8,No_PHROG,unknown function,hypothetical protein
virus_comp_2239_cycle_1_9,No_PHROG,unknown function,hypothetical protein
virus_comp_2263_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_2263_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_2265_cycle_1_11,No_PHROG,unknown function,hypothetical protein
virus_comp_2265_cycle_1_2,942,DNA, RNA and nucleotide metabolism,replication initiation protein
virus_comp_2265_cycle_1_9,No_PHROG,unknown function,hypothetical protein
virus_comp_2269_cycle_1_10,No_PHROG,unknown function,hypothetical protein
virus_comp_2269_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_2273_cycle_1_11,No_PHROG,unknown function,hypothetical protein
virus_comp_2273_cycle_1_12,942,DNA, RNA and nucleotide metabolism,replication initiation protein
virus_comp_2273_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_2273_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_2273_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_2273_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_2273_cycle_1_9,No_PHROG,unknown function,hypothetical protein
virus_comp_2283_cycle_1_10,No_PHROG,unknown function,hypothetical protein
virus_comp_2285_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_2332_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_2332_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_2332_cycle_1_9,No_PHROG,unknown function,hypothetical protein
virus_comp_2334_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_2334_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_2334_cycle_1_8,No_PHROG,unknown function,hypothetical protein
virus_comp_2340_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_2343_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_2345_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_2375_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_2375_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_2375_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_2375_cycle_1_8,No_PHROG,unknown function,hypothetical protein
virus_comp_2382_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_2384_cycle_1_8,No_PHROG,unknown function,hypothetical protein
virus_comp_2391_cycle_1_9,942,DNA, RNA and nucleotide metabolism,replication initiation protein
virus_comp_2440_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_2489_cycle_1_4,942,DNA, RNA and nucleotide metabolism,replication initiation protein
virus_comp_2489_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_2489_cycle_1_8,1642,head and packaging,virion structural protein
virus_comp_2506_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_2527_cycle_1_12,No_PHROG,unknown function,hypothetical protein
virus_comp_2589_cycle_1_2,514,head and packaging,major head protein
virus_comp_2591_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_2591_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_2591_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_2591_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_2640_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_2640_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_2640_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_2640_cycle_1_6,942,DNA, RNA and nucleotide metabolism,replication initiation protein
virus_comp_2650_cycle_1_1,942,DNA, RNA and nucleotide metabolism,replication initiation protein
virus_comp_2650_cycle_1_9,No_PHROG,unknown function,hypothetical protein
virus_comp_2807_cycle_1_7,942,DNA, RNA and nucleotide metabolism,replication initiation protein
virus_comp_285_cycle_1_1,50,DNA, RNA and nucleotide metabolism,DnaC-like helicase loader
virus_comp_285_cycle_1_126,5939,tail,tail protein
virus_comp_2885_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_2915_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_301_cycle_1_54,No_PHROG,unknown function,hypothetical protein
virus_comp_301_cycle_1_57,No_PHROG,unknown function,hypothetical protein
virus_comp_301_cycle_1_62,59,DNA, RNA and nucleotide metabolism,HNH endonuclease
virus_comp_301_cycle_1_81,No_PHROG,unknown function,hypothetical protein
virus_comp_315_cycle_1_1,23820,tail,tail fiber protein
virus_comp_317_cycle_1_1,2860,head and packaging,endolysin
virus_comp_317_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_3264_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_3264_cycle_1_8,No_PHROG,unknown function,hypothetical protein
virus_comp_3443_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_3464_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_3464_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_347_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_347_cycle_1_4,8158,head and packaging,head maturation protease
virus_comp_357_cycle_1_8,No_PHROG,unknown function,hypothetical protein
virus_comp_358_cycle_1_16,924,unknown function,hypothetical protein
virus_comp_36_cycle_2_107,9959,tail,tail length tape measure protein
virus_comp_36_cycle_2_13,64,head and packaging,portal protein
virus_comp_36_cycle_2_2,No_PHROG,unknown function,hypothetical protein
virus_comp_36_cycle_2_20,864,DNA, RNA and nucleotide metabolism,DNA primase
virus_comp_36_cycle_2_21,1365,unknown function,hypothetical protein
virus_comp_36_cycle_2_38,1,integration and excision,integrase
virus_comp_36_cycle_2_46,No_PHROG,unknown function,hypothetical protein
virus_comp_36_cycle_2_65,No_PHROG,unknown function,hypothetical protein
virus_comp_36_cycle_2_76,No_PHROG,unknown function,hypothetical protein
virus_comp_36_cycle_2_77,111,other,DNA methyltransferase
virus_comp_36_cycle_2_84,3301,other,pyrophosphatase
virus_comp_36_cycle_2_88,5795,tail,tail protein
virus_comp_384_cycle_1_5,14476,head and packaging,virion structural protein
virus_comp_400_cycle_3_10,No_PHROG,unknown function,hypothetical protein
virus_comp_4028_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_421_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_436_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_4360_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_4360_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_4695_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_4826_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_4826_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_490_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_490_cycle_1_6,No_PHROG,unknown function,hypothetical protein
virus_comp_490_cycle_1_7,No_PHROG,unknown function,hypothetical protein
virus_comp_491_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_4933_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_501_cycle_1_8,No_PHROG,unknown function,hypothetical protein
virus_comp_5420_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_545_cycle_1_1,31752,head and packaging,virion structural protein
virus_comp_545_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_545_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_590_cycle_2_1,20732,unknown function,hypothetical protein
virus_comp_590_cycle_2_2,No_PHROG,unknown function,hypothetical protein
virus_comp_590_cycle_2_58,9703,head and packaging,head decoration
virus_comp_590_cycle_2_59,32409,tail,tail fiber protein
virus_comp_597_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_597_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_6059_cycle_1_1,1770,DNA, RNA and nucleotide metabolism,Holliday junction resolvase
virus_comp_6059_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_6059_cycle_1_4,97,other,UvsX-like recombinase
virus_comp_6059_cycle_1_5,97,other,UvsX-like recombinase
virus_comp_6161_cycle_1_4,No_PHROG,unknown function,hypothetical protein
virus_comp_62_cycle_1_26,15866,unknown function,hypothetical protein
virus_comp_62_cycle_1_57,31690,unknown function,hypothetical protein
virus_comp_62_cycle_1_7,16983,unknown function,hypothetical protein
virus_comp_6559_cycle_1_3,199,lysis,holin
virus_comp_6999_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_7214_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_7248_cycle_1_3,No_PHROG,unknown function,hypothetical protein
virus_comp_7271_cycle_1_3,942,DNA, RNA and nucleotide metabolism,replication initiation protein
virus_comp_733_cycle_1_35,No_PHROG,unknown function,hypothetical protein
virus_comp_733_cycle_1_5,No_PHROG,unknown function,hypothetical protein
virus_comp_7421_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_7609_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_7998_cycle_1_1,No_PHROG,unknown function,hypothetical protein
virus_comp_7998_cycle_1_2,347,connector,tail terminator
virus_comp_7998_cycle_1_4,5377,unknown function,hypothetical protein
virus_comp_7998_cycle_1_6,7935,unknown function,hypothetical protein
virus_comp_808_cycle_4_10,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_11,vfdb,moron, auxiliary metabolic gene and host takeover,VFDB virulence factor protein
virus_comp_808_cycle_4_12,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_13,5131,DNA, RNA and nucleotide metabolism,thymidylate synthase
virus_comp_808_cycle_4_15,474,other,phosphofructokinase
virus_comp_808_cycle_4_17,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_2,5,connector,tail completion or Neck1 protein
virus_comp_808_cycle_4_20,62,DNA, RNA and nucleotide metabolism,DNA helicase
virus_comp_808_cycle_4_23,93,DNA, RNA and nucleotide metabolism,endonuclease
virus_comp_808_cycle_4_25,256,DNA, RNA and nucleotide metabolism,DNA helicase
virus_comp_808_cycle_4_26,10285,DNA, RNA and nucleotide metabolism,DNA polymerase
virus_comp_808_cycle_4_29,69,DNA, RNA and nucleotide metabolism,exonuclease
virus_comp_808_cycle_4_30,5053,unknown function,hypothetical protein
virus_comp_808_cycle_4_31,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_32,4583,transcription regulation,transcriptional repressor
virus_comp_808_cycle_4_33,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_34,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_35,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_36,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_39,No_PHROG,unknown function,hypothetical protein
virus_comp_808_cycle_4_43,94,head and packaging,head maturation protease
virus_comp_808_cycle_4_44,94,head and packaging,head maturation protease
virus_comp_808_cycle_4_46,25337,tail,tail length tape measure protein
virus_comp_808_cycle_4_47,25337,tail,tail length tape measure protein
virus_comp_808_cycle_4_50,215,head and packaging,structural protein with Ig domain
virus_comp_809_cycle_1_2,979,head and packaging,terminase large subunit
virus_comp_872_cycle_1_42,No_PHROG,unknown function,hypothetical protein
virus_comp_99_cycle_1_2,No_PHROG,unknown function,hypothetical protein
virus_comp_9910_cycle_1_2,No_PHROG,unknown function,hypothetical protein
